,0
0,49562
1,23710
2,41314
3,425685
4,594
5,43279
6,7867
7,886042
8,379293
9,332866
10,380680
11,676523
12,289183
13,130822
14,903287
15,639649
16,35748
17,604740
18,763201
19,17816
20,762805
21,217256
22,6159
23,957622
24,24994
25,142717
26,230359
27,409812
28,9258
29,93564
30,693398
31,55473
32,33625
33,897297
34,90302
35,408773
36,181325
37,284080
38,913047
39,913046
40,913043
41,7143
42,17083
43,98088
44,877
45,295635
46,295636
47,3343
48,417545
49,104741
50,92380
51,724182
52,932024
53,12473
54,300056
55,239819
56,96366
57,42594
58,86530
59,87
60,357532
61,45563
62,4684
63,358383
64,302318
65,73644
66,91042
67,74340
68,17640
69,664407
70,509164
71,304108
72,14697
73,4374
74,91096
75,43963
76,1534
77,15770
78,48889
79,338938
80,913056
81,913052
82,63242
83,912657
84,6260
85,173434
86,221721
87,25532
88,373715
89,65437
90,332710
91,18431
92,355
93,83554
94,842262
95,823424
96,10237
97,628708
98,406237
99,27069
100,165733
101,231233
102,23983
103,724140
104,266290
105,624
106,74403
107,73170
108,905315
109,30613
110,61024
111,70160
112,380883
113,13124
114,66691
115,717084
116,268762
117,661829
118,447206
119,126629
120,59460
121,23760
122,62120
123,917467
124,796
125,326410
126,500805
127,33761
128,657714
129,777717
130,745635
131,409370
132,15734
133,2589
134,362353
135,12054
136,119891
137,263140
138,419948
139,304232
140,9416
141,8709
142,222080
143,198448
144,37072
145,7289
146,115349
147,152095
148,110132
149,120727
150,90728
151,643642
152,143091
153,332542
154,202320
155,44289
156,232047
157,212523
158,362908
159,74512
160,7274
161,56125
162,1584
163,738537
164,58902
165,373519
166,381251
167,5415
168,26634
169,13019
170,24422
171,218599
172,118003
173,249203
174,173745
175,618380
176,13663
177,11120
178,760545
179,333385
180,222140
181,334585
182,448533
183,18513
184,13471
185,763387
186,828871
187,332640
188,408353
189,416752
190,295189
191,177
192,536691
193,673125
194,652899
195,168336
196,27904
197,46418
198,112513
199,693325
200,235030
201,233943
202,943
203,556507
204,729084
205,1253
206,158886
207,885604
208,21423
209,207011
210,119791
211,2530
212,780924
213,647943
214,49616
215,96251
216,8762
217,725127
218,725129
219,8597
220,63738
221,569875
222,8268
223,944894
224,192587
225,317041
226,274356
227,913022
228,118102
229,134830
230,92663
231,44339
232,8558
233,249266
234,163319
235,887
236,884
237,553287
238,121765
239,409231
240,725293
241,104023
242,201
243,345828
244,23215
245,8701
246,36236
247,723480
248,342953
249,344517
250,506212
251,18310
252,86549
253,18298
254,49418
255,8290
256,335761
257,7348
258,449502
259,477472
260,91032
261,41756
262,64031
263,207010
264,26980
265,913035
266,237446
267,263755
268,799936
269,770432
270,386696
271,674035
272,271881
273,427191
274,23756
275,409377
276,4265
277,814401
278,335029
279,407358
280,379860
281,69945
282,651129
283,242895
284,725063
285,687920
286,90288
287,932988
288,254373
289,80279
290,421111
291,236562
292,51094
293,65649
294,801244
295,33310
296,867398
297,908855
298,48859
299,224554
300,12898
301,63137
302,57305
303,8791
304,883823
305,294460
306,108390
307,729
308,730333
309,227
310,5069
311,831802
312,660808
313,18514
314,18515
315,18496
316,103047
317,335172
318,409379
319,23346
320,266212
321,16789
322,420185
323,659334
324,240259
325,421143
326,10250
327,73221
328,717932
329,237299
330,784429
331,912790
332,3791
333,33283
334,337511
335,255579
336,1105
337,913019
338,319060
339,171366
340,20825
341,66894
342,5715
343,927517
344,184714
345,197176
346,765274
347,351012
348,2449
349,309716
350,309719
351,18394
352,39367
353,8241
354,5931
355,96800
356,863869
357,369742
358,18086
359,376696
360,67158
361,45079
362,676796
363,858090
364,12966
365,219699
366,509400
367,23497
368,56076
369,74509
370,714648
371,12363
372,1512
373,677472
374,184012
375,757516
376,813642
377,240073
378,182112
379,723297
380,218665
381,118238
382,2113
383,13566
384,943779
385,763072
386,203201
387,75572
388,649485
389,260966
390,774274
391,814003
392,331956
393,912986
394,13499
395,645427
396,791909
397,569876
398,797869
399,413515
400,383920
401,616
402,898686
403,316821
404,50324
405,664953
406,119381
407,1426
408,374
409,219683
410,93105
411,913053
412,7029
413,726787
414,30092
415,13435
416,25057
417,1127
418,673890
419,947103
420,12433
421,378167
422,378166
423,156286
424,726391
425,16331
426,726122
427,218188
428,649510
429,268688
430,462354
431,775165
432,533397
433,584443
434,257657
435,107897
436,92885
437,581166
438,9751
439,917320
440,230717
441,780282
442,18899
443,175248
444,834157
445,89231
446,121970
447,121976
448,350892
449,198175
450,192929
451,23717
452,23713
453,83387
454,83386
455,13395
456,193173
457,192880
458,240359
459,176435
460,59306
461,764258
462,931964
463,793149
464,99759
465,79087
466,731112
467,105884
468,59013
469,145059
470,18577
471,188740
472,935241
473,147023
474,640605
475,6474
476,4040
477,9823
478,266189
479,105929
480,338649
481,22126
482,598
483,681160
484,873002
485,169922
486,97749
487,349019
488,349018
489,290671
490,178227
491,245209
492,630815
493,594536
494,184159
495,702460
496,846607
497,111858
498,787911
499,159905
500,11388
501,42589
502,814933
503,426852
504,94789
505,807024
506,512431
507,919016
508,309738
509,314230
510,286450
511,704375
512,118792
513,7545
514,7547
515,153217
516,153219
517,301426
518,176135
519,233085
520,206601
521,284706
522,20602
523,350226
524,416000
525,8662
526,4051
527,90717
528,602
529,1356
530,32621
531,30488
532,37706
533,71871
534,83359
